level,kanji_final,kanji_ai,hiragana_katakana,romaji_final,english_ai,pos,example_jp,example_en,usage_note
N5,,,えっ,oh?,oh? (surprise),"pronoun, verb (question)","えっ、あのニュースはどうなの？
(Oh, what's that news about?)",What's this news about? Oh?,This exclamation is commonly used to express surprise or shock. This is often accompanied by a raised eyebrow or a quick glance of the face.
N5,,,えーと,ē to,hmm / let me think,interjection,,"Ēto, watashi wa kimi no te o agemasu.",
N5,,,わたし,watashi,"I, me",,,,
N5,,,みせ,mise,shop / restaurant,n,うちでみせにいきました。,I went to the shop.,
N5,,,メニュー,menyu,menu,n,メニューを読んでください。,Please read the menu.,
N5,,,てんいん,ten'in,ten'in — store clerk / server,noun,,Ten'in wa anata no koto o shirimasen.,
N5,,,おきゃくさん,okyaku-san,customer,noun,,"Okyaku-san, konban wa arigatou gozaimasu.",
N5,,,ごはん,gohan,rice / meal,noun,,,
N5,,,みそしる,miso-shiru,miso soup,noun,私たちが食事をすると、　　みそしるを食べました。,"When we had dinner, we ate miso soup.",
N5,,,みず,mizu,water,noun,　　タンクから水を出して、　　みずを飲みました。,We took out the water from the tank and drank some.,
N5,,,デザート,Deza-to,dessert,noun,,,
N5,,,ちゅうもんします,chuumon shimasu,to order,verb,　　レストランで、　　めしあがりを注文しました。,I ordered my meal at the restaurant.,
N5,,,おかいけい,okai kei,bill/check,noun,　　レストランで、　　おかいけいを出してきました。,The restaurant brought us the bill.,
N5,上,,うえ,ue,up / above,adverb,ついて上に行こう。,Let's go up.,
N5,下,,した,shita,down/below,adverb,　　坂道は、　　しいたいところで、危険です。,The hill road is dangerous at the bottom.,
N5,前,,まえ,mae,front,adverb,　　車が　　まえから来るときは、気をつけてください。,Be careful when a car comes from the front.,
N5,後ろ,,うしろ,ushiro,behind,,机のうしろに書いて。,Write it behind the desk.,
N5,左,,ひだり,hidari,left,adverb,　　通りに　　ひだりから来るときは、右に曲がってください。,"When coming from the left on the street, turn right.",
N5,右,,みぎ,migi,right,adverb,　　通りに　　みぎから来るときは、左に曲がってください。,"When coming from the right on the street, turn left.",
N5,中,,なか,naka,in / inside,prep,,,
N5,外,,そと,soto,outside,adverb,,,
N5,間,,あいだ,aida,between,noun,　　建物の間は、広くて空気がすきです。,The space between the buildings is wide and well-ventilated.,
N5,,,となり,tonari,next to,noun,　　近くの駅は、　　となりにある駅です。,The nearby station is the one next door.,
N5,,,そば,soba,near / close to,adverb,私はらなしの安大です,This house is near the station.,
N5,机,,つくえ,tsukue,desk / table,noun,王はさんらきのトターです,This desk is big.,
N5,,,いす,isu,chair,noun,もいはさんきのトターです,This chair is comfortable.,
N5,,,ほんだな,hondana,bookshelf,noun,稽いのたんらきのタトルです,This bookshelf is full.,
N5,,,かばん,kaban,bag,noun,箙はさんらきのトターです,This bag is big.,
N5,,,じしょ,dictionary,Dictionary,Noun,辞書は、単語の意味を調べることができるものです。,A dictionary can be used to look up the meaning of a word.,A general term for a reference book that defines words and their usage.
N5,,,スマホ／スマートフォン,sumaho / sumātofon,smartphone,noun,サメビーはじいをらきの節順ました,This smartphone is useful.,
N5,,,タオル,tōru,towel,noun,給はさんらきのトターです,This towel is soft.,
N5,,,うち,uchi,home / house,noun,私は家に帰ります。,I am going home.,This word can refer to the literal house or a place of residence.
N5,大学,,だいがく,daigaku,university,noun,稽いはさんらきのタトルです,This university is big.,
N5,駅,,えき,eki,station,noun,私はらなしの安大ばもびのトターです,This station is near the house.,
N5,銀行,,ぎんこう,ginkō,bank,noun,稽いはさんらきのタトルです,This bank is big.,
N5,郵便局,,ゆうびんきょく,yūbin kyoku,post office,noun,郵便局でお金を引き出します。,I withdraw money at the post office.,
N5,,,デパート,Departto,department store,n,デパートに行きました。,I went to the department store.,
N5,本屋,,ほんや,hon'ya,bookstore,noun,本屋で新刊の本を買いました。,I bought a new book at the bookstore.,
N5,花屋,,はなや,hana ya,flower shop,noun,花屋でお弁当を買いました。,I bought a bento at the flower shop.,
N5,,,アパート,apāto,apartment,noun,アパートの部屋は広いです。,The apartment's room is spacious.,
N5,,,こうばん,koban,police box,noun,近所の koban では警察官がいるらしい。,The police box in my neighborhood has a police officer.,
N5,,,ホテル,hoteru,hotel,noun,ホテルのルームサービスを利用しました。,I used the hotel's room service.,
N5,,,トイレ,toi re,restroom,noun,トイレはどこにあるですか?,Where is the restroom?,
N5,,,バスルーム,basu rūmu,bathroom,noun,バスルームにはシャワーが付いています。,The bathroom has a shower.,
N5,,,おてあらい,ote arai,restroom (polite),noun,お手洗い場はどこですか?,Where is the restroom?,
N5,病院,,びょういん,byōin,hospital,noun,病院に通院する必要があります。,I need to go to the hospital.,
N5,パン屋,,パンや,pan ya,bakery,noun,パン屋さんは人気のお店です。,The bakery is a popular store.,This is a noun.
N5,,,ここ,koko,here,adverb,私たちはここにいる。,We are here.,
N5,,,そこ,soko,there,adverb,花はそこに咲いている。,The flowers are blooming there.,
N5,,,あそこ,asoko,over there,adverb,友達はあそこにいる。,My friend is over there.,
N5,,,どこ,doko,where,interrogative,どこに行きますか?,Where are you going?,
N5,,,どちら,doko-ra,where (polite),interrogative,どちらに行きますか?,"Where are you going, please?",
N5,,,あります／ある,arimasu/aru,to exist (things),,,,
N5,,,います／いる,imasu/iru,to be (people/animals),verb,彼女は日本にいます。,She is in Japan.,
N5,近く,,ちかく,chikaku,nearby,noun,この駅の周辺にはたくさんの飲食店があります。,There are many restaurants nearby this station.,
N5,,,むこう,mukou,over there / opposite side,noun,彼は向こうの山を見ています。,He is looking at the mountain over there.,
N5,,,はしって,hasitte,along / by (the side of),particle,道沿いにたくさんの建物があります。,There are many buildings along the road.,
N5,,,おく,oku,deep inside / inner part,noun,机の奥にある本を読みます。,I read a book that is deep inside the desk.,
N5,,,コーナー,kônã,corner,noun,だるきたを、トルです,The car turned at the corner and went straight.,
N5,入口,,いりぐち,iriguchi,entrance,noun,トルですいまる、ビトを形前なたる,"The entrance is on the left, and the exit is on the right.",
N5,出口,,でぐち,deguchi,exit,noun,ビトを形前なたる,The exit is on the right.,
N5,階段,,かいだん,kaidan,stairs,noun,階段は廊下に伸びていた。,The stairs ran along the hallway.,Indicates the physical structure of a staircase or steps.
N5,,,エレベーター,eribeitaa,elevator,noun,フレトをりたる,The elevator is broken.,
N5,,,エスカレーター,esukareetaaa,escalator,noun,フレトをりたる,The escalator is not working.,
N5,廊下,,ろうか,roka,hallway / corridor,noun,トルですいまる、ビトを形前なたる,"The hallway is on the left, and the exit is on the right.",
N5,,,げつようび,getsuyoubi,Monday,noun,だるきたを、トルです,I have a meeting on Monday.,
N5,,,かようび,kayoubi,Tuesday,noun,だるきたを、トルです,I have a meeting on Tuesday.,
N5,,,すいようび,suiyoubi,Wednesday,noun,だるきたを、トルです,I have a meeting on Wednesday.,
N5,,,もくようび,mokuyoubi,Thursday,,,,
N5,,,きんようび,kinyoubi,Friday,noun,だるきたを、トルです,I have a meeting on Friday.,
N5,,,どようび,doyoubi,Saturday,noun,週末は土曜日が好きだ。,I like Saturdays at the weekend.,
N5,,,にちようび,nicyoubi,Sunday,noun,日曜日の朝は楽しいね。,Sundays in the morning are nice.,
N5,,,なんようび,nan'youbi,what day (of the week),interrogative,何曜日は来週の日付を調べる?,What day is next week's date?,
N5,,,おととい,ototoi,day before yesterday,noun,昨日の日曜日は、友達と映画を見た。,"Yesterday was a Sunday, and I saw a movie with friends.",
N5,,,きのう,kinou,yesterday,noun,昨日は雨が降った。,It rained yesterday.,
N5,,,きょう,kyou,today,noun,今日の夜は何をする予定ですか?,What are your plans for tonight?,
N5,,,あした,asobi,free time,noun,"今日は週末は休みで、
**asobi**に使う時間があるよ。","Today is the weekend, so I have free time to do **leisure activities.**",Leisure activity
N5,,,あさって,asatte,day after tomorrow,noun,明日から明後日は、雨が降る予定。,It's going to rain from tomorrow and the day after tomorrow.,
N5,,,せんしゅう,senjyu,last week,noun,先週の日曜日は友達と会った。,I met friends last Sunday.,
N5,,,こんしゅう,konshuu,this week,noun,今週の日曜日は、雨が降る予定。,It's going to rain on Sunday this week.,
N5,,,らいしゅう,raishuu,next week,noun,来週の日曜日は、友達と旅行に行く予定。,We're planning to go on a trip with friends next Sunday.,
N5,,,せんげつ,se ngetsu,last month,noun,,"Last month, I went to Tokyo.",
N5,,,こんげつ,kongetsu,this month,noun,,I'm planning a party for this month.,
N5,,,きょねん,kyonen,last year,noun,,"Last year, I visited the US.",
N5,,,ことし,kotoshi,this year,,,,
N5,,,らいねん,rainen,next year,noun,,I'm planning a trip for next year.,
N5,,,らいげつ,raige tsu,next month,noun,,I have a meeting scheduled for next month.,
N5,,,まいにち,mainichi,every day,adverb,,I exercise every day.,
N5,,,まいしゅう,mashū,every week,noun,,I go to the gym every week.,
N5,,,がっこう,gakkō,school,noun,,The school is closed for vacation.,
N5,,,いく,iku,to go,verb,,I will go to the store later.,
N5,,,かいしゃ,kaisha,company / office,n,会社は大きいね,The company is large.,Can refer to a physical place of business or an organization.
N5,,,する,suru,to do,verb,,What are you doing today?,
N5,,,ともだち,tomodachi,friends,noun,私と友達は映画を観た。,My friend and I watched a movie.,
N5,,,やま,yama,mountain,noun,山の頂上で景色がよく見える。,The view from the top of the mountain is beautiful.,
N5,,,いつ,itsu,when,adverb,映画の試写会はいつですか?,When is the movie's preview?,
N5,,,にほん,nihon,Japan,noun,日本は世界の文化的な国です。,Japan is a culturally rich country.,
N5,,,くる,kuru,to come,verb,明日は友達が来る予定です。,My friend is coming over tomorrow.,
N5,,,くに,kuni,country,noun,日本は世界でいちばん安全な国だ。,Japan is the safest country in the world.,
N5,,,かえる,kaeru,to return / go back,verb,明日は帰ります。,I will go back home tomorrow.,
N5,,,ちゅうごく,chūgoku,China,,,,
N5,,,りょこう,ryokou,travel / trip,noun,今年、旅行に行きたいです。,I want to go on a trip this year.,
N5,,,うみ,umi,sea,noun,海はきれいで、泳ぎやすい。,The sea is beautiful and good for swimming.,
N5,,,いいですね,ii desu ne,that sounds great / nice,expression,新しい店ができて、いいですね。,"That new store just opened, and it's really great.",
N5,,,あさって,asatte,the day after tomorrow,noun,さてじんでます、ょきにたたつだいはちぢま,I'll do it tomorrow. The day after tomorrow is a busy day for me.,
N5,,,クラス,kasu,class,noun,帯代で左とがじんります、カリスタだいる,The teacher taught us a lot in class today. The class is at 2 PM.,
N5,,,やすみ,yasumi,break / rest / holiday,noun,**休暇**をとって、旅行へ行こう,Take a break to travel.,
N5,,,しゅうまつ,shūyou matsu,weekend,noun,日朝でじんます、曵公朝たる,I have a meeting today. The weekend is relaxing.,
N5,,,かわ,kawa,river,noun,橋でじんます、海宮だいる,I'll go to the beach tomorrow. The river is calm.,
N5,,,しょくじ,syokuji,meal,noun,おべたる、トミルタだいる,I'm hungry. Let's have a meal at 7 PM.,
N5,,,アルバイト,arubaito,part-time job,noun,学とすります、カークタ　統同だいる,I have a part-time job. Working is fun.,
N5,,,じかん,jikan,time / hour,noun,さてじんます、時閝るいはちぢま,I'll do it tomorrow. I have a lot of time.,
N5,,,いっしゅうかん,ichijuu kan,one week,noun,日朝でじんます、今天からはちぢま,I have a meeting today. One week is a long time.,
N5,,,つき,tsuki,month / moon,noun,日朝でじんます、前巰るいはちぢま,I have a meeting today. The month is passing quickly.,
N5,,,とし,toshi,year (general),noun,日朝でじんます、前有はるいはちぢま,I have a meeting today. A year is a long time.,
N5,,,まいあさ,mai asa,every morning,"noun, adjective","朝、学校に王
morningschool ni iku",In the mornings go to school,
N5,,,まいばん,maiban,every night,,,,
N5,,,ひま,yoyaku,reservation / booking,noun,"旅行の手参きらる。
tourism yoyaku o shiteiru",I made a reservation.,
N5,,,よやく,ibento,event,noun,コンサートは明日です。concert wa ashita ni okeru,The concert will be tomorrow.,
N5,,,イベント,sukejiru,schedule,noun,"来週の学橏は絢己と不をおる。
raishuu no sukejiru wa doushitte o tsukau yo",I will use this schedule for next week.,
N5,,,スケジュール,dekaeru,to go out,"verb, auxiliary verb","明日は
ashita wa dekaeru you ni okeru",You can go out tomorrow.,
N5,,,でかける,hajimaruru,to start / begin,"verb, auxiliary verb",約で当関にす。nigate ni hajimarurunodeki,You can start at any time.,
N5,,,はじまる,owaru,to finish / end,"verb, auxiliary verb","朝
asakadekaeru",I finished my morning exercise.,
N5,,,おわる,asa,morning,noun,"朝、学校に王
morningschool ni iku",In the mornings go to school,
N5,,,あさ,hiru,daytime / noon,noun,"昼
kaisya wa hiru no jikan ni aru",The office is open during daytime.,
N5,,,ひる,hiru,daytime / noon,noun,午後は休んでください。,Take a rest in the afternoon.,
N5,,,ゆうがた,yūgata,early evening,noun,,,
N5,,,ばん,ban,evening,noun,夜は早く寝ましょう。,Let's go to bed early at night.,
N5,,,よる,yoru,night,noun,,,
N5,,,ゆうべ,yūbe,last night,noun,昨日の夜はすごく寒かった。,It was very cold last night.,
N5,,,けさ,kesa,this morning,adverbial noun,,,
N5,,,あさごはん,asa gohan,breakfast,,,,
N5,,,ひるごはん,hirugohan,lunch,noun,昼食はどこに行きますか。,Where will we have lunch?,
N5,,,ばんごはん,bangohan,dinner,noun,,,
N5,,,パン,pan,bread,noun,パンを買いました。,I bought bread.,
N5,,,やさい,yasai,vegetable,noun,,,
N5,,,くだもの,kudanmono,fruit,n,くだものを食べました。,I ate fruit.,Plural form of 'fruit' used in a sentence.
N5,ぎゅうにゅう,,ぎゅうにゅう,gyūnyū,milk,noun,牛乳を飲んだ。,I drank milk.,
N5,（お）さけ,,（お）さけ,(o)sake,alcohol / alcoholic beverage,noun,（お）酒を飲む。,To drink alcohol.,
N5,（お）かし,,（お）かし,(o)kashi,candy / snack,noun,（お）菓子を買う。,To buy candy.,
N5,おきる,,おきる,okiru,to get up / wake up,verb,,I got up early today.,
N5,ねる,,ねる,neru,to sleep / go to sleep,verb,夜に寝る。,To go to bed at night.,
N5,なんじかん,,なんじかん,nanjikan,how many hours,interrogative phrase,,How many hours have you been waiting?,
N5,そうですね,,そうですね,sō desu ne,I suppose / that’s right,phrase,,That's probably right.,
N5,～じかん,,～じかん,~jikan,hours,noun,,I studied for three hours.,
N5,～じかんはん,,～じかんはん,~jikankan,and a half hours,phrase,,It takes two and a half hours to get there.,
N5,たべる,,たべる,taberu,to eat,verb,,I'm going to eat dinner now.,
N5,,,いちにち,ichi-nichi,one day / per day,numeral,,,
N5,tsu,tsu,～はい,~hai,cups / glasses,"noun, counter",hito-mai hai o kimashita.,I came up with one cup.,
N5,toki toku,toki toku,ときどき,tokidoki,sometimes,adverb,tokidoki gakkou ni ikimasu.,I sometimes go to school.,
N5,たばこ,,たばこ,tobako,cigarette,noun,tobakohai wa okashii desu ne.,"Cigarettes are expensive, aren't they?",
N5,すう,,すう,sū,to smoke,verb,tobakō o sū toki wa arimasen.,I don't have time to smoke.,
N5,どのくらい,,どのくらい,dono kurai,how many / how much,adverb,dono kurai no gakusei ga attandāto o tsukamu no desu ka?,How many students attend the attendant at?,
N5,〜本,hon,〜ほん,~hons,"counter for long, thin objects (cigarettes, pens, bottles)","noun, counter",tobako-hon wa okashii desu.,Cigarette boxes are expensive.,
N5,くすり,,くすり,kusi,medicine,noun,kusi o nomu toki ni watashi wa tokai o kimashita.,I went out when I was taking medicine.,
N5,のむ,,のむ,nomu,to drink / to take (medicine),verb,kusi o nomeru toki wa watashi ni watte kudasai.,Please give me medicine when I need it.,
N5,ごはん,,ごはん,gohan,meal / rice / food,noun,gohan o tabetai desu.,I want to eat a meal.,
N5,まえ,,まえ,mae,before,preposition,mae no hibi wa doushita no?,What was it like before?,
N5,あと,あと,あと,ato,after,noun/adverb,映画の後、公園にに行った。,"After the movie, we went to the park.",
N5,のむ,のむ,のむ,nomu,to drink,verb,ビールを飲んだ。,I drank a beer.,
N5,つくる,つくる,つくる,tsukuru,to make / cook,verb,料理を作るのが好きなよ。,Cooking is my favorite hobby.,
N5,りょうりする,,りょうりする,ryōri suru,to cook,verb,ご飯を調理したので食べに行くね。,"I've cooked dinner, so let's go eat.",
N5,はじめる,,はじめる,hajimeru,to start,verb,新しい仕事が始まるよ!,My new job is starting!,
N5,おわる,,おわる,owaru,to finish,verb,宿題を終わらせたね。,I finished my homework.,
N5,あつめる,,あつめる,atsumeru,to gather / collect,verb,新しい資料を集めたよ!,I collected the new data!,
N5,あける,,あける,akeru,to open,verb,ドアを開けた。,I opened the door.,
N5,しめる,,しめる,shimeru,to close,verb,窓を閉じた。,I closed the window.,
N5,あらう,,あらう,arau,to wash,verb,手首を洗ったね。,I washed my hands.,
N5,きる,,きる,kiru,to cut,verb,コュール、ウトしは更きすれまする,I will cut the paper.,
N5,もつ,,もつ,motsu,to hold,verb,パレはいるしは更きます。,I am holding a pencil.,
N5,はこぶ,,はこぶ,hakobu,to carry,verb,パレはいるしは更きます。,I am carrying a bag.,
N5,えらぶ,,えらぶ,erabu,to choose,verb,コュール、ウトしは更きまする,I will choose the red pen.,
N5,すてる,,すてる,suteru,to throw away,verb,セルきまする,Throw it away.,
N5,家,,いえ,ie,home / house,noun,セルだが日本です。,My home is in the countryside.,
N5,へや,,へや,heya,room,noun,パャヴ、アレドだが日本です。,My room is in the east.,
N5,事台砘,事台砘,としょかん,toshokan,library,noun,パレはいるしは更きます。,I am in the library.,
N5,昈外审,昈外审,しょくどう,shokudou,cafeteria / dining hall,noun,パレはいるしは更きます。,I am in the cafeteria.,
N5,困詰本王,困詰本王,コンビニ,konbini,convenience store,noun,パレはいるしは更きます。,I am in the convenience store.,
N5,マーケット,,スーパー,suupaa,supermarket,noun,スーパーで野菜を買いました。,I bought vegetables at the supermarket.,
N5,（お）みせ（お店）,,（お）みせ（お店）,(o)mise(o-misen),shop / store / restaurant,noun,（お）みせでは何も売っていません。,There's nothing to buy at the shop.,
N5,肉屋,,にくや,nikuya,butcher shop,noun,肉屋で牛肉を買いました。,I bought beef at the butcher shop.,
N5,魚屋,,さかなや,sakanay,fishmonger,noun,魚屋さんで魚を買いました。,I bought fish at the fish market.,"This is a shop that sells fish. It can refer to a general store that sells seafood, as well as a specialty fishmongers."
N5,やおや,,やおや,yaoiya,greengrocer / produce store,noun,やおやではきれいな野菜が売っています。,The greengrocer has nice vegetables for sale.,
N5,ドラッグストア,,ドラッグストア,doraggu sutoa,drugstore,noun,ドラッグストアでは薬を買いました。,I bought medicine at the drugstore.,
N5,薬屋,,くすりや,kusuriya,pharmacy,noun,くすりやでは薬を処方してもらいます。,The pharmacist will give me a prescription.,
N5,いつも,,いつも,itsu-mo,always / usually,adverb,いつも早く起きます。,I always wake up early.,
N5,する,,べんきょう,benkyou,study,noun,勉強すると頭がいいです。,Studying makes you smarter.,
N5,テレビ,,テレビ,te rebi,TV,noun,テレビで映画を見ました。,I watched a movie on TV.,
N5,見る,,みる,miru,see / watch,verb,映画をみることができます。,You can watch a movie.,
N5,よく,よく,よく,yoku,often,adverb,,,
N5,本,私,ほん,hon,book,noun,私にいわます,I have a book.,
N5,読む,読をにり,よむ,yomu,read,verb,私にいわますし、ールを読をにり,I have a book. I will read it.,
N5,きら぀,きら぀,あまり,arima,(not) much / (not) many,adverb,きら぀とれ、ールを読をにり,(Not) much and I will read it.,
N5,する,苹本し,りょうり,ryouri,cooking / cook,noun,苹本しを行る,I will cook.,
N5,まさい」とおゃ』,まさい」とおゃ』,ぜんぜん,zenzen,not at all,adverb,まさい」とおゃ』を術れんしい,I don't like it at all.,
N5,見海,見海,おんがく,ongaku,music,noun,見海を手でらい,I like music.,
N5,聞く,,きく,ki-ku,listen,verb,この本を聞こう,I will listen to this book.,Indicates the act of hearing something.
N5,買う,卯たじ,かう,kaou,buy,verb,いら぀のールを卯たじ,I will buy it.,
N5,する,東本し,そうじ,souji,clean,verb,東本しを行る,I will clean.,
N5,とおます,とおます,それから,sorekara,then / after that,adverb,ールを読をにりさ、とおますです,I will read it. Then I will...,
N5,する,,せんたく,sentaku,laundry,noun,,,
N5,(o)furo,(o)furo,（お）ふろ,ofuro,bath,noun,,,
N5,入る,,はいる,hairu,enter / take (a bath),verb,,,
N5,shan,shan,シャワー,shāwa,shower,noun,,,
N5,あびる,,あびる,abiru,take (a shower),verb,,,
N5,する,,かいもの,kaimono,shopping,noun,,,
N5,repu-to,repu-to,レポート,repōto,report,noun,,,
N5,書く,,かく,kaku,write,verb,,,
N5,ニュース,,ニュース,nyūsu,news,noun,,,
N5,(inta)netto,(inta)netto,（インター）ネット,(intā)netto,internet,noun,,,
N5,する,,でんわ,denwa,phone / call,noun,トレを手、そらのルーまたい,I will make a phone call.,
N5,,,（お）べんとう,bento,bento lunch box,noun,この弁当はいつもおいしくて、私もよく食べます。,"This bento is always so delicious, and I eat it often.","The term 'bento' can refer to a single serving lunch box, and also denotes the specific type of food within the box.  Often, this involves Japanese staples like rice, fish, or meat."
N5,作る,私,つくる,tsukuru,make / create,verb,私たんだい、安丁でする,I will make a cake and eat it.,
N5,浦を,浦を,あらう,arau,wash / clean,verb,浦をだい、安丁でする,I will wash the dishes and eat.,
N5,四をな,四をな,いそぐ,isogu,hurry / rush,verb,四をなたい、トレを手、そらのルーまたい,I will hurry up and make a phone call.,
N5,安を嶄,安を嶄,まつ,matsu,wait / wait for,verb,安を嶄たい、トレを手、そらのルーまたい,I will wait for the bus and make a phone call.,
N5,歴,歴,あう,au,meet / encounter,verb,歴たい、安を嶄たい,I will meet my friend and wait for the bus.,
N5,だ,だ,でる,deru,leave / go out,verb,だい、安を嶄たい,I will leave the house and wait for the bus.,
N5,はいる,,はいる,hairu,enter / go into,verb,トレを手、そらのルーまたい宣たんだい,I will enter the house and make a phone call.,
N5,しす,しす,つく,tsuku,arrive / reach,verb,しすい、安を嶄たい,I will arrive at the station and wait for the bus.,
N5,渵だ,渵だ,とまる,tomaru,stop / stay,verb,渵だい、安を嶄たい,I will stop the car and wait for the bus.,
N5,開,開,あける,akeru,to open,verb,ドアをあける,To open the door.,
N5,閉,閉,しめる,shimeru,to close,verb,窓をしめる,To close the window.,
N5,消,消,けす,kesu,turn off/erase,verb,電気をけす,To turn off the electricity.,
N5,じかん,,じかん,jikan,time,noun,時間は何時ですか,What time is it?,
N5,よてい,,よてい,yotei,plan/schedule,noun,旅行の計画を立てます,To plan a trip.,
N5,,,ばしょ,basho,place,n,この公園は、子供たちが遊びをする場所です。,This park is a place where children play.,"This term can refer to any type of location, such as a town or city."
N5,近,近,ちかく,chikaku,near,adverb,病院は家からちかくにあります,The hospital is near my house.,
N5,遠,遠,とおい,tōi,far,adverb,山はとおいです,The mountain is far away.,
N5,しゅみ,,しゅみ,shumi,hobby/interest,noun,趣味は何ですか,What is your hobby?,
N5,映画,映画,えいが,eiga,movie,noun,今日の映画見ました,I watched a movie today.,
N5,ギター,,ギター,gita,guitar,noun,ギターを弾いています,I'm playing the guitar.,
N5,２京,２京,ピアノ,piano,a musical instrument played by pressing keys,noun,ピアノを弾きます。,She plays the piano.,
N5,うた,,うた,uta,a short poem or a short melody,noun,この歌はうたです。,This song is a song.,
N5,スポーツ,,スポーツ,supōtsu,an activity involving physical exertion and skill,noun,彼はスポーツをする人です。,He is someone who does sports.,"commonly referred to as ""sports"" in English"
N5,,,サッカー,sakkaa,,,,,
N5,,,テニス,tenisu,,,,,
N5,,,スキー,sukii,,,,,
N5,,,すいえい,suiei,,,,,
N5,,,やきゅう,yakyuu,,,,,
N5,する,,ジョギング,jogingu suru,,,,,
N5,する,,ダンス,dance,dancing / dance,n-stem,踊りをする,to dance,can refer to physical movement of the body
N5,する,,ゲーム,geemu suru,,,,,
N5,アニメ,,アニメ,anime,animation / cartoon,noun,,Anime wa ogenki desu.,
N5,まんが,,まんが,manga,comic book / graphic novel,noun,,Manga o yomiagete moratta.,
N5,町,町,まち,machi,town / village,noun,,Machi de tabetai to omou.,
N5,えいがかん,,えいがかん,eiga-kan,movie theater,noun,,Eiga-kan ni ikimasu.,
N5,レストラン,,レストラン,resutoran,restaurant,noun,,Resutoran de gohan o tabetai.,
N5,きっさてん,,きっさてん,kissaten,café / coffee shop,noun,,Kissaten ni iku zo!,
N5,カフェ,,カフェ,kafe,café,noun,,Kafe de coffee o nonde moratta.,
N5,公園,公園,こうえん,kouen,park,noun,,Kouen ni hana ga sakimashita.,
N5,びじゅつかん,,びじゅつかん,bijutsukan,art gallery / museum,noun,,Bijutsukan e iku zo!,
N5,プール,,プール,puuru,pool (swimming),noun,,Puuru ni ikimasu.,
N5,寺,寺,（お）てら,(o)tera,temple,noun,(o)tera ni ikimasu.,I'm going to the temple.,
N5,美容院,美容院,びよういん,biyouin,hair salon,noun,biyouin o tsukaimasu.,I'm using a hair salon.,
N5,カラオケ,,カラオケ,karaoke,karaoke,noun,karaoke de utaou.,We'll sing karaoke.,
N5,,,どうぶつえん,dōbutsu-en,zoo,noun,動物園に行く,I'm going to the zoo.,A place where animals are kept and displayed.
N5,神社,神社,じんじゃ,jinja,shrine,noun,jinja ni iku.,I'm going to the shrine.,
N5,弾く,弾く,ひく,hiku,play (an instrument),verb,guitar o hiku.,He plays the guitar.,
N5,な,な,すき,suki,like,adjective,anime ga suki desu.,I like anime.,
N5,書く,書く,かく,kaku,draw / write,verb,eigo o kaku tariimasen.,I'm not good at writing English.,
